i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
178: 3 2 1 3 3 3 1 3 2 3 500437.76100 0.05000 -0.00565 0.01489 
179: 3 2 1 3 4 3 1 3 2 3 500437.76100 0.05000 -0.00565 0.01489 
180: 3 2 1 3 2 3 1 3 2 2 500440.13000 0.05000 -0.04462 -0.02212
181: 3 2 1 3 3 3 1 3 2 4 500440.13000 0.05000 -0.04462 -0.02212
182: 3 2 1 3 3 3 1 3 2 2 500440.13000 0.05000 -0.04462 -0.02212
183: 3 2 1 3 4 3 1 3 2 4 500440.13000 0.05000 -0.04462 -0.02212
184: 5 4 1 1 5 5 3 2 1 5 500947.30200 0.05000 0.02311 0.01932
185: 5 4 1 0 5 5 3 2 0 5 501521.57400 0.05000 -0.01828 -0.02169
186: 16 8 9 0 16 16 7 9 1 16 504693.12600 0.05000 0.06791 -0.01107
187: 9 5 4 1 9 9 4 5 1 9 504911.26500 0.05000 -0.02965 -0.03002
188: 9 5 4 0 9 9 4 5 0 9 505315.37700 0.05000 -0.03828 -0.01122
189: 8 5 4 0 8 8 4 4 1 8 507611.45100 0.05000 -0.07142 -0.05393
190: 16 8 9 1 16 16 7 9 0 16 508639.19800 0.05000 0.00464 -0.06578
191: 10 5 5 1 10 10 4 6 1 10 512599.09700 0.05000 0.06131 0.04471
192: 10 5 5 0 10 10 4 6 0 10 512873.71000 0.05000 -0.03235 0.03132
193: 4 3 1 0 4 4 2 3 1 4 513087.95300 0.05000 -0.03931 -0.03060
194: 8 5 4 1 8 8 4 4 0 8 515037.10200 0.05000 -0.04853 -0.04318
195: 4 3 1 1 4 4 2 3 0 4 522355.41500 0.05000 -0.04590 -0.05262
196: 4 2 3 3 3 4 1 4 3 4 522421.55200 0.05000 -0.01541 0.02633
197: 4 2 3 3 4 4 1 4 3 4 522421.55200 0.05000 -0.01541 0.02633
198: 4 2 3 3 5 4 1 4 3 4 522421.55200 0.05000 -0.01541 0.02633
199: 4 2 3 3 3 4 1 4 3 3 522423.14200 0.05000 -0.02199 0.02124
200: 4 2 3 3 4 4 1 4 3 3 522423.14200 0.05000 -0.02199 0.02124
201: 4 2 3 3 4 4 1 4 3 5 522423.14200 0.05000 -0.02199 0.02124
202: 4 2 3 3 5 4 1 4 3 5 522423.14200 0.05000 -0.02199 0.02124
203: 4 2 3 2 4 4 1 4 2 4 522736.34800 0.05000 -0.05187 -0.02273
204: 4 2 3 2 3 4 1 4 2 3 522737.94600 0.05000 0.01557 0.04606
205: 4 2 3 2 5 4 1 4 2 5 522737.94600 0.05000 0.01557 0.04606
206: 9 4 5 1 9 9 3 6 1 9 532057.14400 0.05000 0.06673 0.01258
207: 9 4 5 0 9 9 3 6 0 9 532209.16200 0.05000 0.05203 0.07800
208: 6 2 4 1 6 6 1 5 1 6 543980.52700 0.05000 0.00127 0.00200
209: 6 2 4 0 6 6 1 5 0 6 544179.90800 0.05000 -0.01321 -0.06338
210: 4 4 1 0 4 4 3 1 1 4 546252.07800 0.05000 0.01627 -0.00688
211: 4 1 4 2 3 3 2 2 3 2 547352.76500 0.05000 -0.01117 -0.00656 
212: 4 1 4 2 3 3 2 2 3 3 547352.76500 0.05000 -0.01117 -0.00656 
213: 4 1 4 2 5 3 2 2 3 4 547352.76500 0.05000 -0.01117 -0.00656 
214: 4 1 4 2 4 3 2 2 3 3 547354.70900 0.05000 -0.02195 -0.01503 
215: 4 1 4 2 4 3 2 2 3 4 547354.70900 0.05000 -0.02195 -0.01503 
216: 4 4 1 1 4 4 3 1 0 4 555367.93200 0.05000 0.00475 -0.00885
217: 3 0 3 2 2 2 1 1 3 1 572942.97100 0.05000 0.02740 0.01345 
218: 3 0 3 2 2 2 1 1 3 2 572942.97100 0.05000 0.02740 0.01345 
219: 3 0 3 2 4 2 1 1 3 3 572942.97100 0.05000 0.02740 0.01345 
220: 3 0 3 2 3 2 1 1 3 2 572945.24000 0.05000 0.07558 0.06310 
221: 3 0 3 2 3 2 1 1 3 3 572945.24000 0.05000 0.07558 0.06310 
222: 4 4 0 0 4 4 3 2 1 4 579220.70600 0.10000 0.05369 0.04099
223: 13 7 7 0 13 13 6 7 1 13 581758.23300 0.05000 -0.04687 -0.06032
224: 3 0 3 3 2 2 1 1 2 1 583063.10700 0.05000 -0.06808 -0.09245 
225: 3 0 3 3 2 2 1 1 2 2 583063.10700 0.05000 -0.06808 -0.09245 
226: 3 0 3 3 4 2 1 1 2 3 583063.10700 0.05000 -0.06808 -0.09245 
227: 3 0 3 3 3 2 1 1 2 3 583065.37500 0.05000 -0.01956 -0.04245 
228: 3 0 3 3 3 2 1 1 2 2 583065.37500 0.05000 -0.01956 -0.04245 
229: 13 7 7 1 13 13 6 7 0 13 586906.55300 0.05000 0.02639 0.01124
230: 4 4 0 1 4 4 3 2 0 4 588325.25400 0.05000 0.04710 0.03614
231: 12 6 6 1 12 12 5 7 1 12 593242.32600 0.05000 0.10864 0.15060
232: 12 6 6 0 12 12 5 7 0 12 593562.75000 0.05000 -0.04988 0.01679
233: 5 4 2 1 5 5 3 3 1 5 594588.37600 0.05000 0.01679 0.01875
234: 7 5 3 0 7 7 4 3 1 7 617060.18800 0.05000 -0.04739 -0.02949
235: 7 5 3 1 7 7 4 3 0 7 624470.17500 0.05000 -0.04610 -0.04072
236: 4 2 3 0 4 3 3 0 0 3 627692.81100 0.05000 0.03858 0.06972
237: 4 2 3 1 4 3 3 1 0 3 636409.63500 0.05000 -0.03486 -0.01763
238: 6 3 4 0 6 6 2 5 0 6 654683.36400 0.05000 0.01225 -0.00884
239: 5 3 2 1 5 5 2 4 0 5 664390.49800 0.05000 -0.03172 -0.04570
240: 6 4 2 0 6 6 3 4 1 6 665161.92800 0.05000 0.01692 0.00685
241: 3 1 2 1 3 2 2 0 0 2 672369.98400 0.05000 -0.08730 -0.07022
242: 6 4 2 1 6 6 3 4 0 6 673580.49400 0.05000 -0.01933 -0.04632
243: 8 2 6 1 8 7 5 2 0 7 683365.87400 0.03000 -0.06101 -0.01108
244: 6 5 1 0 6 6 4 2 0 6 694067.16100 0.05000 -0.05069 -0.05147
245: 6 5 2 1 6 6 4 2 0 6 696885.06100 0.05000 0.00685 -0.00546
246: 15 8 8 0 15 15 7 8 1 15 698630.39500 0.02000 -0.02005 -0.00776
247: 2 1 1 0 2 1 0 1 1 1 699224.18000 0.05000 -0.08037 -0.06352
248: 15 8 8 1 15 15 7 8 0 15 702712.02200 0.02000 -0.00648 -0.02091
249: 2 1 1 1 2 1 0 1 0 1 709349.89400 0.05000 -0.11570 -0.10581
250: 15 7 8 1 15 15 6 9 1 15 723705.98600 0.02000 0.00230 -0.00621
251: 5 5 1 0 5 5 4 1 1 5 723770.38900 0.02000 -0.01976 -0.03674
252: 15 7 8 0 15 15 6 9 0 15 723893.60100 0.02000 -0.00451 -0.04358
253: 5 5 0 0 5 5 4 1 0 5 727837.18300 0.02000 0.01680 0.00755
254: 5 5 0 1 5 5 4 1 1 5 728315.87300 0.02000 -0.01568 -0.01702
255: 6 5 1 0 6 6 4 3 1 6 730963.74500 0.02000 0.01644 0.01543
256: 5 5 1 1 5 5 4 1 0 5 732022.78700 0.02000 -0.03203 -0.02244
257: 6 5 2 0 6 6 4 3 0 6 733183.04200 0.02000 -0.06350 -0.06863
258: 5 5 0 0 5 5 4 2 1 5 733675.81200 0.02000 0.02150 -0.00133
259: 6 5 2 1 6 6 4 3 1 6 733781.57500 0.02000 0.00398 -0.00856
260: 5 5 1 0 5 5 4 2 0 5 737375.28100 0.02000 0.01265 0.00256
261: 5 5 1 1 5 5 4 2 1 5 737861.42900 0.02000 -0.01434 -0.01832
262: 7 5 3 1 7 7 4 4 1 7 738581.14700 0.02000 -0.01665 -0.01473
263: 7 5 3 0 7 7 4 4 0 7 739145.52200 0.02000 -0.01395 -0.02150
264: 6 5 1 1 6 6 4 3 0 6 739529.79800 0.02000 0.04488 0.03153
265: 5 0 5 0 5 4 1 3 1 4 739540.80000 0.04000 -0.02411 -0.04216
266: 5 5 0 1 5 5 4 2 0 5 741920.74500 0.02000 -0.00327 0.00228
267: 9 3 6 0 9 8 6 2 1 8 746536.09100 0.02000 -0.00705 -0.03998
268: 9 6 4 0 9 9 5 4 1 9 747808.21100 0.02000 0.02824 0.04791
269: 7 5 2 0 7 7 4 4 1 7 748035.83200 0.02000 -0.00819 -0.01175
270: 12 7 6 0 12 12 6 6 1 12 748141.32900 0.02000 0.01196 -0.00928
271: 12 7 6 1 12 12 6 6 0 12 753365.35400 0.02000 -0.00378 -0.01173
272: 9 6 4 1 9 9 5 4 0 9 754142.24600 0.02000 -0.00346 -0.01816
273: 12 5 7 1 12 12 4 8 1 12 754871.20900 0.02000 0.00938 0.03254
274: 9 3 6 1 9 8 6 2 0 8 755371.68500 0.02000 0.01207 0.00711
275: 7 5 2 1 7 7 4 4 0 7 755400.48100 0.02000 -0.00500 -0.01548
276: 8 5 4 1 8 8 4 5 1 8 764073.31000 0.02000 -0.04422 -0.04412
277: 8 5 4 0 8 8 4 5 0 8 764549.38600 0.02000 -0.01598 -0.02539
278: 6 1 6 0 6 5 2 4 1 5 764615.92500 0.10000 0.05314 0.06357
279: 9 6 3 1 9 9 5 4 1 9 765572.97500 0.02000 -0.07689 -0.03703
280: 9 6 3 0 9 9 5 4 0 9 766222.25000 0.02000 -0.03424 -0.05613
281: 3 1 3 1 3 2 0 2 1 2 769244.73000 0.02000 0.01684 0.00357
282: 3 1 3 0 3 2 0 2 0 2 769268.97900 0.05000 0.00884 0.01434
283: 9 2 7 0 9 8 5 3 1 8 773844.97500 0.20000 -0.07592 -0.02375
284: 6 1 6 1 6 5 2 4 0 5 774626.64800 0.10000 0.01403 -0.01160
285: 7 3 5 0 7 7 2 6 0 7 774633.32100 0.10000 0.01402 -0.03879
286: 6 2 5 0 6 6 1 6 0 6 787458.38300 0.05000 -0.00487 0.04009
287: 2 2 0 0 2 1 1 0 1 1 795582.06700 0.05000 -0.03859 -0.02234
288: 2 2 0 1 2 1 1 0 0 1 805425.19200 0.05000 -0.07140 -0.07645
289: 8 5 3 0 8 8 4 5 1 8 807083.15000 0.05000 -0.00412 0.00363
290: 7 4 3 1 7 7 3 5 0 7 811790.30900 0.05000 -0.00134 -0.05533
291: 4 2 2 0 4 3 3 0 1 3 815531.66800 0.05000 -0.05873 -0.04892
292: 16 7 9 1 16 16 6 10 1 16 856171.21700 0.40000 -0.67736 -0.55327
293: 16 7 9 0 16 16 6 10 0 16 856220.96000 0.04000 0.00546 0.02579
294: 18 9 9 1 18 18 8 10 1 18 858226.12900 0.10000 0.00536 0.04610
295: 18 9 9 0 18 18 8 10 0 18 858660.41600 0.10000 0.04028 0.18804
296: 7 1 7 1 7 6 2 5 0 6 860804.81400 0.04000 -0.01995 -0.04227
297: 7 0 7 0 7 6 1 5 1 6 863214.08200 0.04000 -0.04823 -0.05593
298: 3 3 1 0 3 3 0 3 1 3 866371.26300 0.04000 0.02307 0.04685
299: 7 6 2 0 7 7 5 2 1 7 870382.69600 0.02000 -0.02711 -0.00394
300: 7 0 7 1 7 6 1 5 0 6 873321.45800 0.02000 0.01023 0.00070
301: 7 6 1 0 7 7 5 2 0 7 874159.21000 0.02000 0.02689 0.02544
302: 7 6 1 1 7 7 5 2 1 7 874804.74300 0.05000 0.05118 0.04640
303: 3 3 0 1 3 3 0 3 1 3 876120.38800 0.05000 0.01129 0.04031
304: 8 6 2 0 8 8 5 4 1 8 876351.62700 0.02000 0.03676 0.02177
305: 14 8 7 0 14 14 7 7 1 14 876399.66900 0.03000 0.02521 0.04775
306: 9 6 4 1 9 9 5 5 1 9 877108.69400 0.03000 -0.00221 0.01563
