Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
   0    6    5    1      0    6    4    2    23.151588     23.151588   0.000000     694067.161     0.010     0.050
   1    6    5    2      0    6    4    2    23.245583     23.245586  -0.000003     696885.061    -0.081     0.050
   1    6    5    2      0    6    4    2    23.245590     23.245586   0.000004     696885.256     0.114     7.495
   0   15    8    8      1   15    7    8    23.303802     23.303803  -0.000002     698630.395    -0.048     0.020
   0    2    1    1      1    1    0    1    23.323608     23.323614  -0.000006     699224.180    -0.169     0.050
   0    2    1    1      1    1    0    1    23.323820     23.323614   0.000206     699230.533     6.184     7.495
   1   15    8    8      0   15    7    8    23.439950     23.439951  -0.000001     702712.022    -0.042     0.020
   1    2    1    1      0    1    0    1    23.661366     23.661368  -0.000002     709349.894    -0.068     0.050
   1    2    1    1      0    1    0    1    23.661670     23.661368   0.000302     709359.021     9.059     7.495
   1   15    7    8      1   15    6    9    24.140233     24.140233   0.000000     723705.986     0.010     0.020
   0    5    5    1      1    5    4    1    24.141750     24.142381  -0.000631     723751.457   -18.928     7.495
   0    5    5    1      1    5    4    1    24.142381     24.142381   0.000000     723770.389     0.004     0.020
   0   15    7    8      0   15    6    9    24.146491     24.146492  -0.000001     723893.601    -0.015     0.020
   0    5    5    0      0    5    4    1    24.278035     24.278034   0.000001     727837.183     0.033     0.020
   1    5    5    0      1    5    4    1    24.294003     24.294002   0.000001     728315.873     0.024     0.020
   0    6    5    1      1    6    4    3    24.382326     24.382323   0.000003     730963.745     0.096     0.020
   0    6    5    1      1    6    4    3    24.382350     24.382323   0.000027     730964.464     0.815     7.495
   1    5    5    1      0    5    4    1    24.416980     24.417653  -0.000673     732002.645   -20.169     7.495
   1    5    5    1      0    5    4    1    24.417652     24.417653  -0.000001     732022.787    -0.027     0.020
   0    6    5    2      0    6    4    3    24.456354     24.456357  -0.000003     733183.042    -0.087     0.020
   0    5    5    0      1    5    4    2    24.472791     24.472790   0.000001     733675.812     0.034     0.020
   0    5    5    0      1    5    4    2    24.473480     24.472790   0.000690     733696.473    20.695     7.495
   1    6    5    2      1    6    4    3    24.476319     24.476321  -0.000002     733781.575    -0.065     0.020
   0    5    5    1      0    5    4    2    24.596192     24.596192   0.000000     737375.281    -0.007     0.020
   1    5    5    1      1    5    4    2    24.612408     24.612408   0.000000     737861.429    -0.012     0.020
   1    7    5    3      1    7    4    4    24.636415     24.636415   0.000000     738581.147    -0.008     0.020
   0    7    5    3      0    7    4    4    24.655241     24.655241  -0.000001     739145.522    -0.023     0.020
   1    6    5    1      0    6    4    3    24.667650     24.668058  -0.000408     739517.543   -12.235     7.495
   1    6    5    1      0    6    4    3    24.668059     24.668058   0.000001     739529.798     0.020     0.020
   0    5    0    5      1    4    1    3    24.668426     24.668426   0.000000     739540.800    -0.014     0.040
   1    5    5    0      0    5    4    2    24.747760     24.747812  -0.000052     741919.180    -1.572     7.495
   1    5    5    0      0    5    4    2    24.747812     24.747812   0.000000     741920.745    -0.008     0.020
   0    9    3    6      1    8    6    2    24.901764     24.901764   0.000000     746536.091    -0.003     0.020
   0    9    6    4      1    9    5    4    24.943670     24.944197  -0.000527     747792.414   -15.803     7.495
   0    9    6    4      1    9    5    4    24.944197     24.944197   0.000000     747808.211    -0.006     0.020
   0    7    5    2      1    7    4    4    24.951790     24.951790   0.000000     748035.832    -0.014     0.020
   0   12    7    6      1   12    6    6    24.955309     24.955309   0.000000     748141.329    -0.006     0.020
   1   12    7    6      0   12    6    6    25.129563     25.129564  -0.000001     753365.354    -0.019     0.020
   1    9    6    4      0    9    5    4    25.155478     25.155479  -0.000001     754142.246    -0.035     0.020
   1    9    6    4      0    9    5    4    25.155550     25.155479   0.000071     754144.417     2.136     7.495
   1   12    5    7      1   12    4    8    25.179793     25.179794  -0.000001     754871.209    -0.024     0.020
   1    9    3    6      0    8    6    2    25.196487     25.196487   0.000000     755371.685     0.011     0.020
   1    7    5    2      0    7    4    4    25.197448     25.197448   0.000000     755400.481     0.002     0.020
   1    7    5    2      0    7    4    4    25.197450     25.197448   0.000002     755400.547     0.068     7.495
   1    8    5    4      1    8    4    5    25.486742     25.486744  -0.000001     764073.310    -0.039     0.020
   0    8    5    4      0    8    4    5    25.502622     25.502622   0.000000     764549.386     0.004     0.020
   0    6    1    6      1    5    2    4    25.504842     25.504840   0.000002     764615.925     0.061     0.100
   1    9    6    3      1    9    5    4    25.536766     25.536768  -0.000002     765572.975    -0.067     0.020
   0    9    6    3      0    9    5    4    25.558423     25.558423   0.000000     766222.250     0.005     0.020
   1    3    1    3      1    2    0    2    25.659242     25.659242   0.000000     769244.730     0.011     0.020
   0    3    1    3      0    2    0    2    25.660051     25.660050   0.000001     769268.979     0.032     0.050
   0    9    2    7      1    8    5    3    25.812690     25.812692  -0.000002     773844.975    -0.067     0.200
   1    6    1    6      0    5    2    4    25.838764     25.838762   0.000001     774626.648     0.042     0.100
   0    7    3    5      0    7    2    6    25.838986     25.838985   0.000001     774633.321     0.025     0.100
   0    6    2    5      0    6    1    6    26.266784     26.266783   0.000002     787458.383     0.051     0.050
   0    2    2    0      1    1    1    0    26.537761     26.537763  -0.000002     795582.067    -0.049     0.050
   0    2    2    0      1    1    1    0    26.537790     26.537763   0.000027     795582.929     0.814     7.495
