 nu1  nu2  nu3a  nu3b  nu4a  nu4b  J  Ka  Kc inv      E"        E/Mhz
   0    0     0     0     0     0 13   2  12   s  771.645372  23133350.00
   0    0     0     0     0     0 13   1  12   a  771.812976  23138370.00
   0    0     0     0     0     0 13   2  12   a  771.813057  23138370.00
   0    0     0     0     0     0 10  10   1   s  784.623120  23522410.00
   0    0     0     0     0     0 10  10   0   s  784.623121  23522410.00
   0    0     0     0     0     0 10  10   1   a  784.715068  23525170.00
   0    0     0     0     0     0 10  10   0   a  784.715069  23525170.00
   0    0     0     0     0     0 11   8   4   s  791.751336  23736110.00
   0    0     0     0     0     0 11   8   3   s  791.768512  23736620.00
   0    0     0     0     0     0 11   8   4   a  791.864604  23739500.00
   0    0     0     0     0     0 11   8   3   a  791.881833  23740020.00
   0    0     0     0     0     0 12   4   8   s  796.034558  23864520.00
   0    0     0     0     0     0 12   4   8   a  796.146960  23867890.00
   0    0     0     0     0     0 12   5   8   s  798.219388  23930020.00
   0    0     0     0     0     0 12   5   8   a  798.326246  23933220.00
   0    0     0     0     0     0 14   0  14   s  818.185778  24528590.00
   0    0     0     0     0     0 14   1  14   s  818.185778  24528590.00
   0    0     0     0     0     0 14   0  14   a  818.398824  24534980.00
   0    0     0     0     0     0 14   1  14   a  818.398824  24534980.00
   0    0     0     0     0     0 12   5   7   s  821.217486  24619480.00
   0    0     0     0     0     0 12   5   7   a  821.326754  24622760.00
   0    0     0     0     0     0 13   2  11   s  825.997968  24762800.00
   0    0     0     0     0     0 13   3  11   s  826.001219  24762890.00
   0    0     0     0     0     0 13   2  11   a  826.137619  24766980.00
   0    0     0     0     0     0 13   3  11   a  826.140852  24767080.00
   0    0     0     0     0     0 12   6   7   s  831.958388  24941490.00
   0    0     0     0     0     0 12   6   7   a  832.050960  24944260.00
   0    0     0     0     0     0 11   9   3   s  836.645606  25082000.00
   0    0     0     0     0     0 11   9   2   s  836.646109  25082020.00
   0    0     0     0     0     0 11   9   3   a  836.746011  25085010.00
   0    0     0     0     0     0 11   9   2   a  836.746516  25085030.00
   0    0     0     0     0     0 12   6   6   s  841.016610  25213040.00
   0    0     0     0     0     0 12   6   6   a  841.115185  25216000.00
   0    0     0     0     0     0 12   7   6   s  866.070494  25964140.00
   0    0     0     0     0     0 12   7   6   a  866.146174  25966410.00
   0    0     0     0     0     0 12   7   5   s  867.728918  26013860.00
   0    0     0     0     0     0 12   7   5   a  867.806693  26016190.00
   0    0     0     0     0     0 13   3  10   s  874.302093  26210920.00
   0    0     0     0     0     0 13   4  10   s  874.374109  26213080.00
   0    0     0     0     0     0 13   3  10   a  874.421410  26214490.00
   0    0     0     0     0     0 13   4  10   a  874.493132  26216640.00
   0    0     0     0     0     0 14   1  13   s  883.206458  26477860.00
   0    0     0     0     0     0 14   2  13   s  883.206480  26477860.00
   0    0     0     0     0     0 14   1  13   a  883.377356  26482990.00
   0    0     0     0     0     0 14   2  13   a  883.377378  26482990.00
   0    0     0     0     0     0 11  10   2   s  887.054639  26593230.00
   0    0     0     0     0     0 11  10   1   s  887.054647  26593230.00
   0    0     0     0     0     0 11  10   2   a  887.145420  26595950.00
   0    0     0     0     0     0 11  10   1   a  887.145427  26595950.00
   0    0     0     0     0     0 12   8   5   s  904.578089  27118570.00
   0    0     0     0     0     0 12   8   4   s  904.626709  27120030.00
   0    0     0     0     0     0 12   8   5   a  904.754477  27123860.00
   0    0     0     0     0     0 12   8   4   a  904.803324  27125320.00
   0    0     0     0     0     0 13   4   9   s  915.708479  27452250.00
   0    0     0     0     0     0 13   4   9   a  915.814948  27455440.00
   0    0     0     0     0     0 13   5   9   s  916.638018  27480120.00
   0    0     0     0     0     0 13   5   9   a  916.741713  27483230.00
   0    0     0     0     0     0 15   0  15   s  932.247402  27948070.00
   0    0     0     0     0     0 15   1  15   s  932.247402  27948070.00
   0    0     0     0     0     0 15   0  15   a  932.468889  27954710.00
   0    0     0     0     0     0 15   1  15   a  932.468889  27954710.00
   0    0     0     0     0     0 14   2  12   s  942.382656  28251920.00
   0    0     0     0     0     0 14   3  12   s  942.383628  28251950.00
   0    0     0     0     0     0 14   2  12   a  942.522497  28256110.00
   0    0     0     0     0     0 14   3  12   a  942.523463  28256140.00
   0    0     0     0     0     0 11  11   1   s  942.656623  28260130.00
   0    0     0     0     0     0 11  11   0   s  942.656623  28260130.00
   0    0     0     0     0     0 11  11   1   a  942.737742  28262570.00
   0    0     0     0     0     0 11  11   0   a  942.737742  28262570.00
   0    0     0     0     0     0 13   5   8   s  947.401086  28402370.00
   0    0     0     0     0     0 13   5   8   a  947.503568  28405440.00
   0    0     0     0     0     0 12   9   4   s  948.901149  28447340.00
   0    0     0     0     0     0 12   9   3   s  948.904373  28447440.00
   0    0     0     0     0     0 12   9   4   a  949.000037  28450310.00
   0    0     0     0     0     0 12   9   3   a  949.003274  28450400.00
   0    0     0     0     0     0 13   6   8   s  953.698463  28591160.00
   0    0     0     0     0     0 13   6   8   a  953.788666  28593860.00
   0    0     0     0     0     0 13   6   7   s  969.473222  29064080.00
   0    0     0     0     0     0 13   6   7   a  969.570121  29066980.00
   0    0     0     0     0     0 13   7   7   s  988.975489  29648740.00
   0    0     0     0     0     0 13   7   7   a  989.050317  29650980.00
   0    0     0     0     0     0 13   7   6   s  993.226743  29776190.00
   0    0     0     0     0     0 13   7   6   a  993.306058  29778570.00
   0    0     0     0     0     0 14   3  11   s  995.556280  29846030.00
   0    0     0     0     0     0 14   4  11   s  995.580441  29846750.00
   0    0     0     0     0     0 14   3  11   a  995.673454  29849540.00
   0    0     0     0     0     0 14   4  11   a  995.697504  29850260.00
   0    0     0     0     0     0 12  10   3   s  998.930927  29947200.00
   0    0     0     0     0     0 12  10   2   s  998.931000  29947200.00
   0    0     0     0     0     0 12  10   3   a  999.020315  29949880.00
   0    0     0     0     0     0 12  10   2   a  999.020388  29949880.00
   0    0     0     0     0     0 15   1  14   s 1002.117238  30042720.00
   0    0     0     0     0     0 15   2  14   s 1002.117244  30042720.00
   0    0     0     0     0     0 15   1  14   a 1002.291919  30047960.00
   0    0     0     0     0     0 15   2  14   a 1002.291925  30047960.00
   0    0     0     0     0     0 13   8   6   s 1027.117196  30792200.00
   0    0     0     0     0     0 13   8   6   a 1027.173929  30793900.00
   0    0     0     0     0     0 13   8   5   s 1027.659202  30808450.00
   0    0     0     0     0     0 13   8   5   a 1027.716712  30810170.00
   0    0     0     0     0     0 14   4  10   s 1042.225874  31245150.00
   0    0     0     0     0     0 14   4  10   a 1042.327572  31248190.00
   0    0     0     0     0     0 14   5  10   s 1042.590653  31256080.00
   0    0     0     0     0     0 14   5  10   a 1042.691101  31259090.00
   0    0     0     0     0     0 16   0  16   s 1053.640452  31587350.00
   0    0     0     0     0     0 16   1  16   s 1053.640452  31587350.00
   0    0     0     0     0     0 16   0  16   a 1053.871384  31594270.00
   0    0     0     0     0     0 16   1  16   a 1053.871384  31594270.00
   0    0     0     0     0     0 12  11   2   s 1054.295801  31606990.00
   0    0     0     0     0     0 12  11   1   s 1054.295802  31606990.00
   0    0     0     0     0     0 12  11   2   a 1054.375830  31609390.00
   0    0     0     0     0     0 12  11   1   a 1054.375831  31609390.00
   0    0     0     0     0     0 15   2  13   s 1066.105394  31961040.00
   0    0     0     0     0     0 15   3  13   s 1066.105681  31961040.00
   0    0     0     0     0     0 15   2  13   a 1066.245833  31965250.00
   0    0     0     0     0     0 15   3  13   a 1066.246118  31965250.00
   0    0     0     0     0     0 13   9   5   s 1070.767298  32100800.00
   0    0     0     0     0     0 13   9   4   s 1070.782427  32101250.00
   0    0     0     0     0     0 13   9   5   a 1070.870017  32103880.00
   0    0     0     0     0     0 13   9   4   a 1070.885205  32104330.00
   0    0     0     0     0     0 14   5   9   s 1080.468793  32391640.00
   0    0     0     0     0     0 14   5   9   a 1080.563609  32394480.00
   0    0     0     0     0     0 14   6   9   s 1083.669789  32487600.00
   0    0     0     0     0     0 14   6   9   a 1083.756992  32490220.00
   0    0     0     0     0     0 14   6   8   s 1107.439624  33200200.00
   0    0     0     0     0     0 14   6   8   a 1107.532280  33202980.00
   0    0     0     0     0     0 12  12   1   s 1114.688879  33417530.00
   0    0     0     0     0     0 12  12   0   s 1114.688879  33417530.00
   0    0     0     0     0     0 12  12   1   a 1114.759699  33419660.00
   0    0     0     0     0     0 12  12   0   a 1114.759699  33419660.00
   0    0     0     0     0     0 13  10   4   s 1120.289450  33585430.00
   0    0     0     0     0     0 13  10   3   s 1120.289956  33585450.00
   0    0     0     0     0     0 13  10   4   a 1120.377240  33588060.00
   0    0     0     0     0     0 13  10   3   a 1120.377749  33588080.00
   0    0     0     0     0     0 14   7   8   s 1121.072002  33608890.00
   0    0     0     0     0     0 14   7   8   a 1121.145347  33611090.00
   0    0     0     0     0     0 15   3  12   s 1124.102363  33699740.00
   0    0     0     0     0     0 15   4  12   s 1124.110244  33699980.00
   0    0     0     0     0     0 15   3  12   a 1124.217830  33703200.00
   0    0     0     0     0     0 15   4  12   a 1124.225670  33703440.00
   0    0     0     0     0     0 16   1  15   s 1128.358506  33827340.00
   0    0     0     0     0     0 16   2  15   s 1128.358508  33827340.00
